kkst398678844;Jail Mail Kiosk- Correcting Corrections;From your smartphone or tablet electronically send letters, photos, and money to an inmate where they can view it on kiosk machine.;35000;jail-mail-kiosk-correcting-corrections;;US;USD;1409146835;1409146835;1404505194;1405258835;16;0
kkst1786598397;"\"Xavier Xerxes  Back To The Basics  Album Project\"";Xavier Xerxes wants backers to get CDs manufactured for his new heavy metal album that he just finished recording.;250;xavier-xerxes-back-to-the-basics-album-project;;US;USD;1409148092;1409148092;1405993947;1406556092;13;1
kkst1683493720;Joe Loftus;Two songs are on Music Row charts.  Releasing 3rd single and making music video.  CD was produced in Nashville and doing well.;9000;joe-loftus;;US;USD;1409148360;1409148360;1404568607;1404756017;6;0
kkst1347482955;Bacon;The internet loves bacon more than potato salad.  Let's make some bacon!;100;bacon-5;;US;USD;1409149502;1409149503;1405088326;1405952702;4;0
kkst234803701;Coolest most Stupendous Childrens Books Compounded w/ Voting;Sir Knighty & Friends has another bunch of childrens / kids picture ebooks. Pledgers will receive voting rights and coolest rewards!;660;kids-childrens-picture-book;;US;USD;1409149789;1409149811;1405891845;1406557789;66;0
kkst378455035;Simple Wallet Plus;Re-imagine your wallet in a simpler way. RFID blocking wallet, Machined from AirCraft Grade Aluminum. Made in the USA.;10000;simple-wallet-plus-0;;US;USD;1409149863;1409149863;1405455406;1405693863;212;0
kkst310956483;Dance/Party Band seeks Pro Sound;We are a NY based Dance/Party cover band that is looking for funds to buy Professional Sound and PA equipment so we can play weddings.;8000;dance-party-band-seeks-pro-sound;;US;USD;1409150211;1409150211;1406045633;1406126211;0;0
kkst63096757;Sponsor kids who need Bouncy Bands to help them learn!;Students need to release extra energy when they work quietly at their desks. Bouncy Bands help them move and become active learners!;1000;sponsor-kids-who-need-bouncy-bands-to-help-them-le;;US;USD;1409151139;1409151139;1405481561;1406559139;34;1
kkst1530844990;Valley of Exile;Isolated in wilderness, an emotionally unstable man begins to feel a presence that's constantly watching, studying and testing him.;28000;valley-of-exile;;US;USD;1409151421;1409151425;1405637479;1406559421;70;0
kkst673082767;A dance studio in Grants Pass!;This project has a double goal -- to fulfill a dream of having a dance studio, and to bring more partner dancing to Grants Pass!;15000;a-dance-studio-in-grants-pass;;US;USD;1409151974;1409151974;1404223505;1406559974;139;0
kkst1688255580;Be Like Me;Think Reversi, but with action and customized pieces (unicorns, robots, etc.!). Overwrite your opponents DNA, be the last one standing.;15000;be-like-me;;US;USD;1409152092;1409152092;1406294754;1406560092;3;0
kkst1033660020;Meo, Cleo, & Cat#2, Adventures In Business;A story of three cats that start a mouse-catching business.  Discover the concepts of starting a business, and making profit.;1100;meo-cleo-and-cat2-adventures-in-business;;US;USD;1409152106;1409152106;1406295679;1406560106;5;0
kkst638295014;Send Bacon To Space!;We want to send bacon to space, and we need your support! Help make history by sending bacon to space with your name!;5000;send-bacon-to-space;;US;USD;1409152381;1409152381;1404934870;1406560381;11;0
kkst172839654;Dating Mobile App for People and Pets - Android and Iphone;The first and most exciting Dating app also for pet-match-maker. LikeTinder app but with a Pet Match System and many other tools.;19500;dating-mobile-app-for-people-and-pets-android-and;;US;USD;1409153035;1409153035;1404102762;1406561035;2;0
kkst1007013403;J.Calarese&Co Marketing and Design Solutions;J.Calarese&Co is expanding, becoming the destination for affordable outsourced graphic design services for B2B companies.;500;jcalareseandco-marketing-and-design-solutions;;US;USD;1409153039;1409153039;1404820570;1406561039;5;0
